Row,sub_id,skin,skull,brain,brain_inner,targetL,targetR,ROItarget_L_max,ROItarget_R_max,ROItarget_L_avg,ROItarget_R_avg
pressure__L+y-z--r-z_R+y-z--r-z_,5,0.7147936,0.6994985,0.6348231,0.6348231,0.2628639,0.4583382,0.4806716,0.5324582,0.2667981,0.2604001
intensity__L+y-z--r-z_R+y-z--r-z_,5,14.49867,7.89092,12.3449,12.3449,2.172338,6.458165,7.146353,8.76388,2.525545,2.622899
mechanicalindex__L+y-z--r-z_R+y-z--r-z_,5,1.305029,1.277104,1.159023,1.159023,0.4799215,0.8368073,0.8775824,0.9721312,0.4871046,0.4754232
pressure__L+y-z--l-z_R+y-z--r-z_,5,0.7672923,0.7830521,0.5338315,0.5338315,0.4283302,0.348819,0.5109357,0.4328392,0.2946345,0.2365992
intensity__L+y-z--l-z_R+y-z--r-z_,5,16.72535,12.79536,8.785553,8.785553,5.694725,3.768905,8.072129,5.78404,2.996905,2.029471
mechanicalindex__L+y-z--l-z_R+y-z--r-z_,5,1.400878,1.429651,0.9746386,0.9746386,0.7820203,0.6368535,0.9328367,0.7902527,0.5379266,0.4319691
pressure__L+y-z--l-z_R+y-z--l-z_test_intensity,3,1.826593,1.636809,0.7917303,0.7917303,0.0711455,0.5154585,0.6447231,0.6032092,0.2578606,0.3231247
intensity__L+y-z--l-z_R+y-z--l-z_test_intensity,3,89.89886,26.92066,19.32283,19.32283,0.09773471,8.110925,12.70759,11.25217,2.628831,3.850272
mechanicalindex__L+y-z--l-z_R+y-z--l-z_test_intensity,3,3.334888,2.988391,1.445495,1.445495,0.1298933,0.941094,1.177098,1.101304,0.4707869,0.5899423
pressure__L+y+z--l+z_R+y+z--l+z_test_undershoot,3,1.646338,0.9430025,0.8009957,0.8009957,0.6446242,0.4481148,0.6933627,0.7668395,0.3887147,0.4523427
intensity__L+y+z--l+z_R+y+z--l+z_test_undershoot,3,75.71977,14.45113,19.79108,19.79108,12.85135,6.224048,14.69047,18.18187,5.653864,6.932992
mechanicalindex__L+y+z--l+z_R+y+z--l+z_test_undershoot,3,3.005789,1.721679,1.462411,1.462411,1.176918,0.818142,1.265901,1.400051,0.7096927,0.825861
